usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_license,d_jurisdiction_names,d_instant_bookable,d_is_business_travel_ready,d_cancellation_policy,d_require_guest_profile_picture,d_require_guest_phone_verification,d_calculated_host_listings_count,d_calculated_host_listings_count_entire_homes,d_calculated_host_listings_count_private_rooms,d_calculated_host_listings_count_shared_rooms,d_reviews_per_month,d_toilet,d_24hourcheckin,d_accessibleheightbed,d_accessibleheighttoilet,d_airconditioning,d_babybath,d_babymonitor,d_babysitterrecommendations,d_bathtowel,d_bathroomessentials,d_bathtub,d_bathtubwithbathchair,d_bbqgrill,d_beachessentials,d_bedlinens,d_bedroomcomforts,d_bodysoap,d_breakfast,d_buildingstaff,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_changingtable,d_childrensbooksandtoys,d_childrensdinnerware,d_cleaningbeforecheckout,d_coffeemaker,d_convectionoven,d_cookingbasics,d_crib,d_disabledparkingspot,d_dishesandsilverware,d_dishwasher,d_dogs,d_doorman,d_doubleoven,d_dryer,d_dvdplayer,d_electricprofilingbed,d_elevator,d_ensuitebathroom,d_espressomachine,d_essentials,d_ethernetconnection,d_evcharger,d_extrapillowsandblankets,d_extraspacearoundbed,d_familykidfriendly,d_fireextinguisher,d_fireplaceguards,d_firmmattress,d_firstaidkit,d_fixedgrabbarsforshower,d_fixedgrabbarsfortoilet,d_flatpathtoguestentrance,d_formaldiningarea,d_freeparkingonpremises,d_freestreetparking,d_freezer,d_fullkitchen,d_gameconsole,d_gardenorbackyard,d_gasoven,d_groundflooraccess,d_gym,d_hairdryer,d_handheldshowerhead,d_hangers,d_heatedtowelrack,d_heating,d_highchair,d_hostgreetsyou,d_hottub,d_hotwater,d_hotwaterkettle,d_indoorfireplace,d_internet,d_iron,d_ironingboard,d_keypad,d_kitchen,d_kitchenette,d_lakeaccess,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_longtermstaysallowed,d_luggagedropoffallowed,d_memoryfoammattress,d_microwave,d_mobilehoist,d_netflix,d_nostairsorstepstoenter,d_other,d_otherpets,d_outdoorparking,d_outdoorseating,d_outletcovers,d_oven,d_packnplaytravelcrib,d_paidparkingoffpremises,d_paidparkingonpremises,d_patioorbalcony,d_petsallowed,d_petsliveonthisproperty,d_pillowtopmattress,d_pocketwifi,d_pool,d_privatebathroom,d_privateentrance,d_privatelivingroom,d_rainshower,d_refrigerator,d_roomdarkeningshades,d_safetycard,d_selfcheckin,d_shampoo,d_showerchair,d_singlelevelhome,d_skiinskiout,d_smartlock,d_smarttv,d_smokedetector,d_smokingallowed,d_stairgates,d_standingvalet,d_stepfreeshower,d_stove,d_suitableforevents,d_tablecornerguards,d_toiletpaper,d_tv,d_walkinshower,d_washer,d_waterfront,d_welllitpathtoentrance,d_wheelchairaccessible,d_wideclearancetoshower,d_widedoorwaytoguestbathroom,d_wideentrance,d_wideentranceforguests,d_wideentryway,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
5,Private room,Condominium,Private,Loft,moderate,Real Bed,Cheetham,40,100,2,1,96,27,1,7.23,5,1,1,111,NA,NA,1,FALSE,moderate,0,0,1,0,1,0,7.23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,40,Cheetham,moderate,Private room,Condominium
NA,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Trafford District,45,NA,2,1,100,1,1,0.37,0,1,1,81,NA,NA,0,FALSE,flexible,0,0,1,1,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45,Trafford District,flexible,Entire home/apt,Apartment
18,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Chorlton Park,89,75,4,2.5,96,22,1,1.11,25,2,2,594,NA,NA,0,FALSE,moderate,0,0,1,1,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,89,Chorlton Park,moderate,Entire home/apt,Apartment
50,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Salford District,500,100,6,2,92,17,2,0.78,50,2,5,651,NA,NA,1,FALSE,strict,0,0,2,2,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,500,Salford District,strict,Entire home/apt,Condominium
NA,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Trafford District,50,NA,2,2,NA,0,1,NA,0,1,1,NA,NA,NA,1,FALSE,flexible,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,50,Trafford District,flexible,Entire home/apt,Apartment
15,Private room,Apartment,Private,Apartment,strict,Real Bed,Miles Platting and Newton Heath,35,100,2,1,95,65,1,3.17,17,1,1,615,NA,NA,0,FALSE,strict,0,0,1,0,1,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Miles Platting and Newton Heath,strict,Private room,Apartment
0,Private room,Apartment,Private,Apartment,strict,Real Bed,Rusholme,52,100,4,1.5,NA,0,1,NA,0,1,3,NA,NA,NA,1,FALSE,strict,0,0,14,3,9,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,Rusholme,strict,Private room,Apartment
NA,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Fallowfield,50,96,2,1,97,39,1,1.8,0,2,1,650,NA,NA,0,FALSE,strict,0,0,7,7,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,50,Fallowfield,strict,Entire home/apt,Apartment
45,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Chorlton,60,NA,4,1,89,10,1,0.46,0,7,2,647,NA,NA,1,FALSE,strict,0,0,28,12,16,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,60,Chorlton,strict,Entire home/apt,Apartment
40,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Bradford,55,100,2,1,98,58,2,3.2,0,2,1,542,NA,NA,1,FALSE,moderate,0,0,3,3,0,0,3.2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,55,Bradford,moderate,Entire home/apt,Apartment
8,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Fallowfield,25,NA,3,2,100,3,1,0.15,0,1,2,615,NA,NA,1,FALSE,flexible,0,0,1,1,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25,Fallowfield,flexible,Entire home/apt,Apartment
7,Private room,Apartment,Private,Apartment,moderate,Real Bed,Moss Side,32,100,2,1,86,55,1,2.53,8,1,1,650,NA,NA,1,FALSE,moderate,0,0,1,0,1,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,Moss Side,moderate,Private room,Apartment
10,Private room,Condominium,Private,Loft,flexible,Real Bed,Hulme,30,100,2,1.5,100,7,1,0.32,10,2,2,650,NA,NA,0,FALSE,flexible,0,0,2,1,1,0,0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30,Hulme,flexible,Private room,Condominium
39,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Salford District,89,100,2,1,60,1,2,0.12,100,1,1,259,NA,NA,1,FALSE,moderate,0,0,4,4,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,89,Salford District,moderate,Entire home/apt,Apartment
39,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Salford District,79,100,2,1,93,75,2,1.63,100,1,1,1378,NA,NA,1,FALSE,moderate,0,0,4,4,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79,Salford District,moderate,Entire home/apt,Apartment
39,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Salford District,99,100,2,1,90,25,2,1.19,100,1,1,628,NA,NA,1,FALSE,moderate,0,0,4,4,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,99,Salford District,moderate,Entire home/apt,Apartment
39,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Salford District,129,100,4,2,86,32,4,1.66,0,1,2,577,NA,NA,1,FALSE,moderate,0,0,4,4,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,129,Salford District,moderate,Entire home/apt,Apartment
70,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Salford District,95,100,4,1,92,5,1,0.35,12,3,1,433,NA,NA,0,FALSE,moderate,0,0,1,1,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,95,Salford District,moderate,Entire home/apt,Apartment
190,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Salford District,70,100,5,2,100,8,1,0.38,0,1,2,636,NA,NA,1,FALSE,strict,0,0,1,1,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,70,Salford District,strict,Entire home/apt,Apartment
5,Private room,Apartment,Private,Apartment,strict,Real Bed,Salford District,30,80,2,1.5,97,39,1,2.06,15,2,2,566,NA,NA,0,FALSE,strict,0,0,1,0,1,0,2.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,Salford District,strict,Private room,Apartment
NA,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Chorlton Park,45,100,4,2,90,78,1,3.71,12,1,2,630,NA,NA,0,FALSE,strict,0,0,4,2,2,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,45,Chorlton Park,strict,Entire home/apt,Apartment
5,Private room,Apartment,Private,Apartment,flexible,Real Bed,City Centre,35,NA,2,1,NA,1,1,0.05,10,1,1,644,NA,NA,0,FALSE,flexible,0,0,1,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,City Centre,flexible,Private room,Apartment
NA,Private room,Apartment,Private,Apartment,flexible,Real Bed,Salford District,20,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,NA,1,FALSE,flexible,0,0,1,0,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,20,Salford District,flexible,Private room,Apartment
25,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,City Centre,139,100,4,2,99,49,1,2.29,25,2,3,642,NA,NA,1,FALSE,strict,0,0,9,7,2,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,139,City Centre,strict,Entire home/apt,Apartment
15,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Stockport District,69,100,3,1,98,22,2,1.06,0,2,2,622,NA,NA,0,FALSE,moderate,0,0,2,2,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,69,Stockport District,moderate,Entire home/apt,Apartment
20,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Ardwick,88,100,6,1,91,29,2,1.35,30,2,2,643,NA,NA,1,FALSE,strict,0,0,1,1,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,88,Ardwick,strict,Entire home/apt,Condominium
0,Private room,Apartment,Private,Apartment,moderate,Real Bed,Cheetham,15,100,1,1.5,97,118,1,5.54,10,2,1,638,NA,NA,1,FALSE,moderate,0,0,2,0,2,0,5.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,15,Cheetham,moderate,Private room,Apartment
10,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ancoats and Clayton,79,100,4,2,79,15,1,0.71,0,1,2,633,NA,NA,1,FALSE,strict,0,0,9,5,4,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79,Ancoats and Clayton,strict,Entire home/apt,Apartment
20,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Trafford District,88,100,4,2,99,69,1,3.22,0,2,2,641,NA,NA,0,FALSE,moderate,0,0,3,3,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,88,Trafford District,moderate,Entire home/apt,Apartment
30,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Bury District,95,90,6,1,97,36,4,1.71,10,2,4,629,NA,NA,1,FALSE,strict,0,0,3,3,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,95,Bury District,strict,Entire home/apt,Apartment
